Age,Income,CreditScore,LoanAmount,LoanDuration,NumOfLatePayments,EmploymentYears,HasMortgage,HasDependents,Region,Class
56,54718.28255805155,537,15443.202742821555,23,2,21,1,1,0,1
69,52079.68842067704,321,28913.325191005948,13,1,16,0,0,0,1
46,49810.34281487331,479,18511.512810383858,27,0,10,0,0,2,1
32,51890.00778566101,798,17326.95672370039,46,0,3,0,1,1,0
60,44442.49853738518,774,28988.37395161656,27,1,9,1,0,2,1
25,25943.71916500504,638,26689.379031129938,24,1,16,1,0,3,1
78,44047.426688830325,830,22300.362735235976,33,0,37,0,0,1,1
38,57031.24676472928,461,16860.89936079408,7,0,17,1,1,2,0
56,47945.97517085893,360,31716.885475867308,14,1,18,0,1,2,0
75,55872.32559695751,384,11545.205966246998,40,0,21,1,1,2,1
36,41198.25455735772,846,28579.065287337577,27,0,14,0,0,1,0
40,64915.04119816893,789,25011.624662439506,31,0,18,0,0,1,0
28,11655.23198792999,304,9868.774734621336,39,2,24,1,0,3,1
28,52121.60769385032,375,20591.241437440833,12,0,36,0,0,3,1
41,70233.20520681917,552,9434.045739032767,35,1,17,0,1,3,1
70,72465.47774062195,306,17216.788456585626,54,1,11,0,1,1,1
53,46522.60746136287,772,22241.274304873543,30,1,31,0,1,0,0
57,30107.027665356738,437,11885.571921451985,54,1,25,0,0,0,1
41,70497.09263515039,657,1217.7623386362175,14,0,25,1,0,1,0
20,49222.02249791659,462,18977.97042830552,32,1,27,1,1,1,0
39,47615.45691095179,617,21716.44914279401,6,0,24,1,0,3,1
70,36607.180386834036,757,16984.196134591857,38,0,29,0,0,0,0
19,31251.68778712614,552,19876.88434211058,13,1,37,0,0,2,0
41,58457.947533865314,500,18563.081972716587,54,0,13,0,0,2,1
61,60048.07182137991,831,11858.660961894235,37,3,0,1,0,1,1
47,53023.160026991325,464,35576.9441311614,45,1,32,1,0,2,1
55,38539.313276092354,531,22535.900409407146,24,1,10,1,0,1,1
19,34025.01762336276,627,16593.36144309519,41,0,34,0,0,0,1
77,28516.270171701606,537,13401.728079678032,55,0,20,0,1,1,1
38,41591.8223588304,419,16819.484376348402,50,3,21,0,0,0,1
50,34912.19652876554,549,17080.31853916419,27,1,4,1,1,2,1
29,24360.35457063432,635,20305.22355683737,44,1,39,1,0,1,1
75,59770.175185295724,583,29169.649814753175,31,0,17,0,1,1,1
39,30214.04207772549,497,13563.441216319188,8,1,36,0,0,3,0
78,64758.84022146101,715,21421.79246363178,51,2,28,1,0,1,0
61,55911.075651701954,694,26397.10138408598,14,0,17,0,1,0,0
42,54415.11781427599,450,14609.220422119368,40,2,11,1,0,2,1
66,74979.63569090137,564,14563.23386475718,12,0,20,0,0,1,1
44,30712.960489032128,519,7927.160721625813,20,0,39,0,1,2,1
76,63106.57994073194,515,33449.68751674261,9,1,29,1,1,0,1
59,45535.36140467855,614,24063.404426238365,42,0,14,0,1,2,0
45,88566.05234944311,515,15436.954819200768,33,2,34,0,0,1,1
77,44288.083532911856,634,15090.517064988213,14,0,27,1,0,1,1
33,41865.374958115724,658,11748.942679524904,40,2,3,1,1,0,1
32,56383.03662285899,460,21256.80291912091,53,2,27,0,0,2,1
79,46866.37201687041,810,17262.79496653458,53,0,29,1,0,1,0
79,38623.05556550196,456,12660.918573800982,56,0,26,1,0,0,1
64,35445.84824096244,461,13826.096531936055,30,1,15,0,1,2,1
79,71873.06732581105,341,25805.74104049735,14,0,31,0,0,1,1
68,32548.075521500123,479,16948.52259171901,57,0,11,1,0,0,0
61,53346.3134057075,602,10175.563901022013,38,1,35,1,1,3,0
72,65842.76209439142,629,20517.43464749919,22,1,14,0,1,0,1
69,66567.42478163949,728,14510.063334386847,17,2,18,1,1,0,1
74,40975.2139672784,649,25168.579874496405,14,0,17,1,0,0,1
20,46907.22799061356,419,32055.535060072565,59,0,25,0,0,0,0
54,43997.09748478441,374,4500.416216051124,10,0,10,0,1,2,1
68,26974.718560011876,422,14344.47369030635,52,1,29,1,0,3,0
24,58062.760745301726,481,21108.131589877856,31,1,27,0,0,1,1
38,50577.55468452213,556,19388.378074796143,50,1,22,1,1,2,1
26,71608.77620902818,568,30014.809055192214,24,0,14,1,0,0,1
56,37651.92354047866,792,19845.58819758539,40,0,10,0,0,1,1
35,66330.44837926544,479,21634.79544029187,7,1,20,0,0,0,0
21,67388.51225426307,448,23446.638164116768,50,5,38,1,0,3,1
42,50706.07530211831,817,14553.253687800487,12,0,30,0,1,0,0
77,17437.07643749496,447,24121.57597133212,14,1,14,1,0,1,0
31,42311.48513833564,308,23244.60225573054,27,1,16,0,0,2,1
67,76788.06686456176,477,20825.555488690778,47,3,24,0,1,3,1
75,54455.83657237864,694,4657.891201797649,38,0,23,1,0,3,0
26,60400.99558807829,630,13911.97868885645,59,0,35,1,0,1,0
43,48662.50127547547,355,21485.795250022707,21,4,32,0,0,3,1
70,46648.35635205307,506,19239.02660248497,48,2,3,0,1,2,1
19,21989.831469507408,404,25991.870002315554,29,1,0,0,0,3,1
37,61921.0882558296,846,26055.79797322033,13,2,37,1,1,3,1
45,66195.21807083565,654,22756.728226244366,35,0,10,0,0,0,0
64,35737.06571799968,788,26057.02511526539,31,0,20,1,0,0,0
77,47317.173177375385,802,24000.752505082935,50,2,24,1,1,2,1
24,45293.88083968564,349,15789.602008109769,53,0,27,0,1,0,0
61,56302.299409794294,386,19953.391145538673,40,1,5,0,0,3,0
78,41834.54627736357,602,11209.143902459631,50,0,5,1,0,2,1
25,63970.11384774504,300,31947.152762553975,22,1,21,1,1,2,1
64,51069.864741867335,680,9964.260109735675,58,0,14,0,0,1,0
52,11758.654166229535,661,3327.1023283422473,43,1,32,1,1,0,0
31,56640.80412788965,680,36965.31745464896,15,0,16,0,0,1,1
34,64945.264813861766,461,19257.165838720564,46,1,11,0,0,1,1
53,32719.075096025917,318,27158.036612198455,55,1,30,0,0,0,1
67,56130.90402461861,542,25863.51389703012,22,0,34,1,1,1,1
57,77449.39504631315,428,28363.185681980638,12,0,33,1,0,3,0
21,51680.99562767358,475,24729.06677076775,7,0,31,1,0,0,1
19,67124.43296494235,708,24779.067385836897,16,2,22,1,1,0,0
79,43367.675446452195,383,1279.9489879828543,55,2,37,0,1,1,1
23,49730.53567314266,675,12291.042740752822,8,0,4,1,0,0,1
71,46930.680681104815,521,-1022.7759541471241,51,1,39,1,0,0,1
59,44193.193604786655,624,13440.633598603898,25,2,1,0,1,0,1
21,47784.16932375386,750,15735.60879602961,18,0,30,1,0,3,0
71,25539.773286135238,715,19067.369237762105,28,4,11,1,1,0,1
46,45036.79798425055,744,12418.137360913293,22,0,38,0,1,1,0
35,70067.09683140178,624,17180.57894398586,34,2,19,1,1,2,1
43,35544.6491472225,822,15856.86558020463,59,1,13,1,0,1,0
61,34008.00092790034,465,22763.314318522018,48,3,10,1,1,3,1
51,50918.18557092133,537,26073.004329838768,44,1,30,1,0,2,1
27,51667.747150358664,312,21713.660846222738,37,0,32,1,1,2,0
79,55661.97078580979,556,25042.48673966426,40,1,25,1,1,2,1
53,48293.921402230415,813,21526.719060187323,40,0,1,0,1,3,1
31,51077.962466875004,509,29496.021346998874,39,1,30,1,1,0,1
48,44736.72839556501,783,34913.17519151395,26,1,34,0,0,2,1
65,30863.057670500537,664,429.93456067533407,21,2,26,0,0,3,1
32,48929.12197534024,524,29065.637742092433,28,1,4,0,1,0,0
25,60868.95494663696,493,9683.193803141165,16,1,10,1,1,3,0
31,57725.81939528501,495,21486.389006452977,19,1,38,0,0,3,1
40,23836.36809591069,699,22090.841867970146,8,0,27,0,1,3,1
77,53778.88044963624,356,24867.489003746876,12,0,15,1,1,0,1
74,36608.45711214246,512,19592.51651747187,45,2,39,1,0,0,1
79,70882.46007832073,578,19960.954045977756,50,0,25,0,1,1,1
57,54894.046743925705,679,22747.171427196503,56,0,23,0,0,2,1
38,63444.259401959105,416,17230.865371220698,16,0,3,1,0,1,0
33,50317.522166222894,750,4804.357986975358,38,1,11,1,0,3,0
62,49009.17501653784,709,19985.970760946067,24,1,17,0,0,0,1
35,72437.6737647987,666,14009.370994392888,50,1,13,1,1,1,0
64,64591.61594937524,412,13325.730556566687,59,4,16,1,0,0,1
70,51767.879783713215,463,12547.458961797442,54,0,15,0,1,1,0
41,47005.00360793903,303,4229.970327148158,46,2,19,1,0,0,1
43,24392.37911703695,322,16802.62832593339,56,2,27,0,0,0,1
42,54868.5130231121,391,20006.38614921953,56,0,0,1,1,1,1
77,48108.44046020428,768,26144.08327504623,28,0,15,1,1,0,0
77,58309.34070623414,454,15274.169401246118,28,0,3,0,0,3,0
77,62867.2826230218,506,32620.129213260105,34,1,31,1,0,2,1
62,68493.8164257087,380,24670.060705808442,11,2,28,0,0,1,1
58,55054.893663416064,782,11031.312329911969,44,1,7,1,0,3,1
46,34304.59302307692,706,16093.725255917052,10,1,1,0,1,1,1
32,17760.296736228003,402,36172.34915756102,37,0,23,0,1,0,1
62,37629.50209464812,539,26079.61934703501,45,1,13,1,0,1,0
18,70002.32749257602,564,15784.925318556605,31,0,0,0,0,2,0
42,77352.37203949162,332,27141.249260210592,19,1,32,1,0,1,1
24,46431.48872346237,334,9910.26878597822,23,1,10,1,1,3,1
26,28085.61118576473,548,15578.582519740827,26,2,19,0,0,3,0
41,40273.7963749574,349,1360.4423349711687,30,1,14,0,1,2,1
18,67067.08734046806,579,24829.639154203265,25,1,27,0,1,1,0
61,41134.8023970934,451,10675.531748781767,29,1,20,0,1,2,1
25,58836.859215012715,836,19355.37891855925,8,2,22,0,1,1,1
41,52528.374519470526,529,7628.515732824024,27,1,8,1,1,2,0
28,60650.04888555581,587,21603.327297638534,13,1,19,1,0,0,1
68,77270.16498420556,694,19406.74646974303,51,0,16,0,1,1,0
34,58846.72213301508,752,8209.304065192471,51,2,14,0,0,1,1
25,52203.74414956894,332,16181.294198383895,34,1,4,1,0,2,1
52,78925.60348713379,662,21065.578046620452,12,1,32,1,0,3,1
52,55243.28152437592,410,23561.444343185136,11,1,29,1,1,1,1
50,38105.787540025995,420,32666.413234894488,11,1,15,0,0,2,0
76,60311.979346542284,315,29742.998428499614,17,1,35,0,0,3,1
22,56711.83313199456,822,14439.59373265947,27,0,36,0,1,0,1
59,45381.464865941,397,14342.017757893751,52,0,37,1,1,3,1
56,42236.209213005895,415,8554.882691795689,31,1,23,1,0,3,1
75,45526.10769027638,770,11922.087894134296,30,0,24,0,0,3,1
58,42021.65963747365,738,26881.24328047232,24,0,26,0,1,3,1
45,46013.602719306626,580,7287.068653730941,41,0,4,0,0,2,1
24,37358.05096637208,648,18760.574370821156,40,2,20,1,1,1,0
26,55792.32032239724,531,17587.599663720113,18,3,34,1,1,0,1
25,54668.019709382286,410,13937.32840181699,30,1,5,0,1,3,0
29,55178.02665844204,651,9581.45670157912,53,0,8,0,1,2,0
51,49064.45990845019,311,4845.190436628935,50,2,26,1,0,3,1
